name is Warrior
	has description "Strong fighter; focuses on high damage output."
	uses sprite "WarriorIdle.png"
	has 20 vigor
	has 4 armor
	has 5 focus
	has skill Rest
	has skill Medium Strike
	has skill Intimidate
	has skill Medium Bash
name is Rogue
	has description "Medium-strength fighter; focuses on debuffs."
	uses sprite "RogueIdle.png"
	has 15 vigor
	has 2 armor
	has 8 focus
	has skill Intimidate
	has skill Light Strike
	has skill Medium Bash
name is Wolf
	has description "Weak by itself, but strong in packs."
	uses sprite "WolfIdle.png"
	has 5 vigor
	has 0 armor
	has 5 focus
	has skill Bite
	has skill Howl
name is Human
	has description "Weak attacker but strong defense; focuses on buffing teammates with vigor and armor."
	uses sprite "HumanIdle.png"
	has 4 vigor
	has 10 armor
	has 4 focus
	has skill Heal
	has skill Rig Up
	has skill Attack
